dataset,m,rep,classifier,accuracy
motivating,5,36,rf,0.6666666666666666
motivating,5,36,1nn,0.7666666666666667
motivating,5,36,linear_svm,0.7333333333333333
motivating,5,36,rbf_svm,0.6666666666666666
motivating,5,37,rf,0.8
motivating,5,37,1nn,0.6666666666666666
motivating,5,37,linear_svm,0.6666666666666666
motivating,5,37,rbf_svm,0.7333333333333333
motivating,5,38,rf,0.8666666666666667
motivating,5,38,1nn,0.8333333333333334
motivating,5,38,linear_svm,0.9333333333333333
motivating,5,38,rbf_svm,0.9
motivating,5,39,rf,0.7333333333333333
motivating,5,39,1nn,0.7
motivating,5,39,linear_svm,0.7333333333333333
motivating,5,39,rbf_svm,0.7333333333333333
motivating,5,40,rf,0.8333333333333334
motivating,5,40,1nn,0.8666666666666667
motivating,5,40,linear_svm,0.8333333333333334
motivating,5,40,rbf_svm,0.8333333333333334
motivating,5,41,rf,0.8666666666666667
motivating,5,41,1nn,0.7333333333333333
motivating,5,41,linear_svm,0.9333333333333333
motivating,5,41,rbf_svm,0.9333333333333333
motivating,5,42,rf,0.8333333333333334
motivating,5,42,1nn,0.7666666666666667
motivating,5,42,linear_svm,0.9
motivating,5,42,rbf_svm,0.8666666666666667
motivating,5,43,rf,0.8333333333333334
motivating,5,43,1nn,0.7333333333333333
motivating,5,43,linear_svm,0.8666666666666667
motivating,5,43,rbf_svm,0.8333333333333334
motivating,5,44,rf,0.8666666666666667
motivating,5,44,1nn,0.8
motivating,5,44,linear_svm,0.8666666666666667
motivating,5,44,rbf_svm,0.9
motivating,5,45,rf,0.7333333333333333
motivating,5,45,1nn,0.8
motivating,5,45,linear_svm,0.8666666666666667
motivating,5,45,rbf_svm,0.8333333333333334
motivating,5,46,rf,0.6666666666666666
motivating,5,46,1nn,0.5666666666666667
motivating,5,46,linear_svm,0.6333333333333333
motivating,5,46,rbf_svm,0.5666666666666667
motivating,5,47,rf,0.7
motivating,5,47,1nn,0.8
motivating,5,47,linear_svm,0.8
motivating,5,47,rbf_svm,0.8333333333333334
motivating,5,48,rf,0.7333333333333333
motivating,5,48,1nn,0.8
motivating,5,48,linear_svm,0.7
motivating,5,48,rbf_svm,0.7666666666666667
motivating,5,49,rf,0.8
motivating,5,49,1nn,0.8333333333333334
motivating,5,49,linear_svm,0.8333333333333334
motivating,5,49,rbf_svm,0.8333333333333334
motivating,10,0,rf,0.7
motivating,10,0,1nn,0.8
motivating,10,0,linear_svm,0.8666666666666667
motivating,10,0,rbf_svm,0.8666666666666667
motivating,10,1,rf,0.7333333333333333
motivating,10,1,1nn,0.8
motivating,10,1,linear_svm,0.8
motivating,10,1,rbf_svm,0.8666666666666667
motivating,10,2,rf,0.9
motivating,10,2,1nn,0.7
motivating,10,2,linear_svm,0.9333333333333333
motivating,10,2,rbf_svm,0.9333333333333333
motivating,10,3,rf,0.8
motivating,10,3,1nn,0.6666666666666666
motivating,10,3,linear_svm,0.8
motivating,10,3,rbf_svm,0.7666666666666667
motivating,10,4,rf,0.7333333333333333
motivating,10,4,1nn,0.8
motivating,10,4,linear_svm,0.7666666666666667
motivating,10,4,rbf_svm,0.7666666666666667
motivating,10,5,rf,0.5333333333333333
motivating,10,5,1nn,0.4666666666666667
motivating,10,5,linear_svm,0.8333333333333334
motivating,10,5,rbf_svm,0.8
motivating,10,6,rf,0.8
motivating,10,6,1nn,0.7
motivating,10,6,linear_svm,0.8
motivating,10,6,rbf_svm,0.7666666666666667
motivating,10,7,rf,0.8666666666666667
motivating,10,7,1nn,0.8333333333333334
motivating,10,7,linear_svm,0.8666666666666667
motivating,10,7,rbf_svm,0.8333333333333334
motivating,10,8,rf,0.8
motivating,10,8,1nn,0.7666666666666667
motivating,10,8,linear_svm,0.7333333333333333
motivating,10,8,rbf_svm,0.7
motivating,10,9,rf,0.9
motivating,10,9,1nn,0.7666666666666667
motivating,10,9,linear_svm,0.8
motivating,10,9,rbf_svm,0.8333333333333334
motivating,10,10,rf,0.8333333333333334
motivating,10,10,1nn,0.8
motivating,10,10,linear_svm,0.8
motivating,10,10,rbf_svm,0.8
motivating,10,11,rf,0.8
motivating,10,11,1nn,0.7666666666666667
motivating,10,11,linear_svm,0.8
motivating,10,11,rbf_svm,0.8
motivating,10,12,rf,0.9666666666666667
motivating,10,12,1nn,0.9
motivating,10,12,linear_svm,0.9333333333333333
motivating,10,12,rbf_svm,0.9333333333333333
motivating,10,13,rf,0.9333333333333333
motivating,10,13,1nn,0.8
motivating,10,13,linear_svm,0.9
motivating,10,13,rbf_svm,0.9333333333333333
motivating,10,14,rf,0.8666666666666667
motivating,10,14,1nn,0.8
motivating,10,14,linear_svm,0.8666666666666667
motivating,10,14,rbf_svm,0.8333333333333334
motivating,10,15,rf,0.7333333333333333
motivating,10,15,1nn,0.6333333333333333
motivating,10,15,linear_svm,0.7333333333333333
motivating,10,15,rbf_svm,0.6333333333333333
motivating,10,16,rf,0.8333333333333334
motivating,10,16,1nn,0.7666666666666667
motivating,10,16,linear_svm,0.8666666666666667
motivating,10,16,rbf_svm,0.8333333333333334
motivating,10,17,rf,0.8666666666666667
motivating,10,17,1nn,0.8
motivating,10,17,linear_svm,0.8
motivating,10,17,rbf_svm,0.8
motivating,10,18,rf,0.7
motivating,10,18,1nn,0.7666666666666667
motivating,10,18,linear_svm,0.7333333333333333
motivating,10,18,rbf_svm,0.8333333333333334
motivating,10,19,rf,0.7666666666666667
motivating,10,19,1nn,0.8333333333333334
motivating,10,19,linear_svm,0.8333333333333334
motivating,10,19,rbf_svm,0.8666666666666667
motivating,10,20,rf,0.7
motivating,10,20,1nn,0.6
motivating,10,20,linear_svm,0.8333333333333334
